iter	Passed	Remaining
0	138	23199
1	136	11425
2	137	7592
3	137	5673
4	137	4519
5	138	3749
6	138	3200
7	140	2819
8	140	2495
9	140	2235
10	140	2022
11	141	1846
12	141	1696
13	141	1567
14	141	1455
15	142	1358
16	142	1271
17	142	1194
18	142	1126
19	142	1064
20	143	1008221	143	957222	143	910223	143	868224	143	828225	144	792226	144	759227	144	727228	144	699229	145	671330	145	646331	145	622332	145	600333	145	578334	146	558335	146	540336	146	522337	146	505338	146	489339	147	474440	147	460441	147	446442	147	433443	147	420444	148	408445	148	397446	148	386447	148	375448	149	365
49	149	355
50	149	346
51	150	337
52	150	329
53	150	320
54	150	312
55	151	304
56	151	297
57	151	289
58	151	282
59	152	276
60	152	269
61	152	263
62	152	256
63	152	250
64	153	244665	153	239666	153	233667	153	228668	153	223669	154	218770	154	213771	154	208772	155	204
73	155	199774	155	194775	155	190776	155	186777	156	182778	156	178779	156	174880	157	170
81	157	166
82	157	163
83	157	159
84	157	156
85	158	152
86	158	149
87	158	145
88	158	142
89	158	139
90	159	136
91	159	133
92	159	130
93	159	127
94	159	124
95	160	121
96	160	119
97	160	116
98	176	124
99	176	121
100	176	118
101	176	116
102	177	113
103	177	110
104	177	108
105	177	105
106	178	103
107	178	100
108	178	98
109	178	95
110	178	93
111	179	91
112	179	88
113	179	86
114	179	84
115	180	82
116	180	80
117	180	78
118	180	75
119	181	73
120	181	71
121	181	69
122	181	67
123	181	65
124	182	64
125	182	62
126	182	60
127	182	58
128	182	56
129	183	54
130	183	53
131	183	51
132	183	49
133	183	48
134	184	46
135	184	44
136	184	43
137	184	41
138	184	39
139	185	38
140	185	36
141	185	35
142	185	33
143	185	32
144	186	30
145	186	29
146	186	27
147	186	26
148	186	25
149	187	23
150	187	22
151	187	20
152	187	19
153	187	18
154	188	16
155	188	15
156	188	14
157	188	13
158	188	11
159	189	10
160	189	9
161	189	8
162	189	6
163	189	5
164	190	4
165	190	3
166	190	2
167	190	1
168	190	0
