iter	Logloss
0	0.68399921
1	0.6755253728
2	0.6664944594
3	0.6579135963
4	0.6529099541
5	0.6452601553
6	0.6369083336
7	0.6292667305
8	0.6213634596
9	0.6136910827
10	0.6068532701
11	0.6000178142
12	0.5938273328
13	0.587403627
14	0.5824884862
15	0.5764759156
16	0.571603136
17	0.5662364916
18	0.5610268839
19	0.5564486692
20	0.5519910472
21	0.5475093845
22	0.5421625574
23	0.5371333609
24	0.5323121947
25	0.5281658574
26	0.5237971942
27	0.5203715465
28	0.5160546401
29	0.5118358147
30	0.5081986284
31	0.5044083172
32	0.500757175
33	0.4975969459
34	0.4947090298
35	0.4919857685
36	0.4902981738
37	0.487003421
38	0.4850821347
39	0.481849956
40	0.4792890237
41	0.4774432788
42	0.4753834523
43	0.4727672388
44	0.4706237059
45	0.4682023047
46	0.4654550164
47	0.4636605483
48	0.4612619832
49	0.4596259579
50	0.4578204395
51	0.4562855862
52	0.4545643637
53	0.4534579586
54	0.451828008
55	0.4500720565
56	0.4484434625
57	0.447497269
58	0.4468420654
59	0.446104326
60	0.4439987803
61	0.442475424
62	0.440974482
63	0.4404206309
64	0.438899975
65	0.4371942439
66	0.4354534354
67	0.4341663645
68	0.4326609112
69	0.4316697513
70	0.430371908
71	0.4288032126
72	0.4279641597
73	0.4268294274
74	0.4264422429
75	0.4250104766
76	0.4236888816
77	0.4226681172
78	0.4217479467
79	0.4213670916
80	0.4207032983
81	0.4201432922
82	0.4190753807
83	0.4184877771
84	0.4176753744
85	0.4168470758
86	0.4163766095
87	0.4154970499
88	0.4146487251
89	0.4138342056
90	0.4131159047
91	0.4121989737
92	0.4112166487
93	0.4101426075
94	0.409644744
95	0.4087008568
96	0.4079100831
97	0.4071591036
98	0.4065738053
99	0.4057462398
100	0.4049617114
101	0.4046976784
102	0.4042257362
103	0.4036958418
104	0.4031619273
105	0.4027283178
106	0.4024393235
107	0.4017258778
108	0.4011851325
109	0.4005026159
110	0.3999948213
111	0.3994206514
112	0.3988862973
113	0.3984929373
114	0.3980097018
115	0.3977338592
116	0.3970498722
117	0.3962409182
118	0.395868186
119	0.3953202937
120	0.3946208119
121	0.3941223508
122	0.3935445831
123	0.3927467934
124	0.3922538321
125	0.3916225448
126	0.3911018874
127	0.3906645343
128	0.3902817106
129	0.389922083
130	0.3893970789
131	0.3891064315
132	0.3887593442
133	0.3885070404
134	0.3882521359
135	0.3881440662
136	0.3876278641
137	0.3874483356
138	0.3872447986
139	0.3870290353
140	0.3865739554
141	0.3861839476
142	0.3855386738
143	0.3852410251
144	0.3847862876
145	0.3843706308
146	0.3840110515
147	0.3835903197
148	0.3832537728
149	0.3830658997
150	0.3825952867
151	0.3819987598
152	0.3817102352
153	0.3813820443
154	0.3807167748
155	0.3804076624
156	0.3800671455
157	0.3796935235
158	0.3789473807
159	0.3785544209
160	0.3782264069
161	0.3781915974
162	0.3778289004
163	0.3776080128
164	0.3773303562
165	0.3770355198
166	0.376811709
167	0.3765498902
168	0.3761784871
169	0.375981944
170	0.3757877224
171	0.3755768104
172	0.375314092
173	0.3750665052
174	0.3747570753
175	0.3746194432
176	0.3743374066
177	0.3740840321
178	0.3737860103
179	0.3736607266
180	0.3732549848
181	0.3731094181
182	0.3727901489
183	0.3726211561
184	0.3724456681
185	0.372275141
186	0.3719516922
187	0.3717472099
188	0.3715166801
189	0.3710859104
190	0.3708968476
191	0.3705264739
192	0.3703507068
193	0.3703190486
194	0.3701200896
195	0.3698018049
196	0.3697913136
197	0.3695074699
198	0.3691708758
199	0.368717565
200	0.3685776374
201	0.3683384612
202	0.3679694504
203	0.3679159796
204	0.3677114648
205	0.3674972998
206	0.3672945633
207	0.366912235
208	0.3665837769
209	0.3664406962
210	0.3662020457
211	0.3661802892
212	0.3661176791
213	0.3659236757
214	0.3656612238
215	0.3654012293
216	0.3652241163
217	0.3651038304
218	0.3650120421
219	0.3648933064
220	0.364836306
221	0.3646374487
222	0.3642651611
223	0.3641701356
224	0.3639408622
225	0.3636624016
226	0.3635245498
